task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	22/ac1e7d	bf59ed3d-b732-48b7-9d2e-ed396b92bab7	listFiles	COMPLETED	0	2024-10-26 19:24:05.240	1m 18s	539ms	93.6%	12.1 MB	17.5 MB	9.3 MB	40.3 KB
3	c8/b90b89	364d691e-44c6-4686-9b75-52311fa89ed0	generateRDF (2)	COMPLETED	0	2024-10-26 19:25:24.738	1m 9s	35.7s	43.8%	53.5 MB	60.9 MB	2 GB	13.6 KB
14	92/e9e8eb	8343cd24-8fec-4341-881c-e4481b4b7917	generateRDF (13)	COMPLETED	0	2024-10-26 19:25:24.759	1m 9s	34.2s	42.9%	53.8 MB	60.9 MB	2 GB	13.6 KB
2	16/423481	3c715979-10c5-48d9-830c-b6396b06689b	generateRDF (1)	COMPLETED	0	2024-10-26 19:25:24.694	1m 19s	51.7s	39.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
9	10/5d02a6	84fc8168-82dd-47a4-8879-f5650e18dc5f	generateRDF (8)	COMPLETED	0	2024-10-26 19:25:24.694	1m 29s	1m 4s	22.8%	53.7 MB	60.9 MB	2 GB	13.6 KB
25	0a/d025bf	fde4d9b0-64f4-4cfe-bce3-b544401d2e83	generateRDF (24)	COMPLETED	0	2024-10-26 19:25:24.725	1m 29s	55.3s	32.1%	53.6 MB	60.9 MB	2 GB	13.6 KB
27	b2/540c6d	80ec765d-6c68-44ad-9cd3-2552dfab8499	generateRDF (26)	COMPLETED	0	2024-10-26 19:25:24.763	1m 29s	1m 1s	32.8%	53.8 MB	60.9 MB	1.9 GB	13.6 KB
15	6d/e05cf9	0c521a93-6644-438e-b232-2f9c9b8bb647	generateRDF (14)	COMPLETED	0	2024-10-26 19:25:24.585	1m 39s	1m 7s	27.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
11	78/f55512	50bc723b-49be-4fe5-a9c2-d42cc7ea2e2c	generateRDF (10)	COMPLETED	0	2024-10-26 19:25:24.666	1m 39s	1m 9s	28.8%	53.4 MB	60.9 MB	2 GB	13.6 KB
23	38/f8ec8f	a9df8bc1-7c64-4cb6-b970-4ef9c493f021	generateRDF (22)	COMPLETED	0	2024-10-26 19:25:24.670	1m 39s	1m 5s	25.8%	53.9 MB	60.9 MB	2 GB	13.6 KB
17	7d/21f53a	8794b792-32fb-4548-b59f-457e9d973412	generateRDF (16)	COMPLETED	0	2024-10-26 19:25:24.670	1m 39s	1m 7s	29.4%	53.9 MB	60.9 MB	2 GB	13.6 KB
20	91/71ffb6	94fb9e5d-0e73-42be-82f9-a7dec68661c5	generateRDF (19)	COMPLETED	0	2024-10-26 19:25:24.676	1m 39s	1m 4s	24.6%	53.5 MB	60.9 MB	2 GB	13.6 KB
19	38/3c19c0	ffec4d49-b9d5-4320-bc88-56c7263e3240	generateRDF (18)	COMPLETED	0	2024-10-26 19:25:24.681	1m 40s	1m 7s	23.6%	53.9 MB	60.9 MB	2 GB	13.6 KB
4	c8/31319d	191a92cb-c900-4349-845f-c4596b6e1c13	generateRDF (3)	COMPLETED	0	2024-10-26 19:25:24.685	1m 40s	1m 9s	30.6%	53.7 MB	60.9 MB	2 GB	13.6 KB
22	37/b68e83	da0f59f3-9709-4f5b-8cd5-b4d5c884c4f8	generateRDF (21)	COMPLETED	0	2024-10-26 19:25:24.704	1m 40s	1m 6s	22.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
5	46/40248d	e1b59157-9c70-49d8-9b55-55bf88b461f0	generateRDF (4)	COMPLETED	0	2024-10-26 19:25:24.704	1m 40s	1m 5s	27.5%	53.7 MB	60.9 MB	2 GB	13.6 KB
6	e3/0a72c6	9eb2959e-0a7c-4eaf-b77c-db552a2ffe22	generateRDF (5)	COMPLETED	0	2024-10-26 19:25:24.713	1m 40s	1m 7s	30.6%	53.4 MB	60.9 MB	2 GB	13.6 KB
10	da/d3030a	58dffa94-7ee5-4df5-b528-cfd30952957c	generateRDF (9)	COMPLETED	0	2024-10-26 19:25:24.731	1m 40s	1m 4s	32.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
12	ab/f12938	50453973-1c4a-48ab-bacd-b34bcd6fe1c6	generateRDF (11)	COMPLETED	0	2024-10-26 19:25:24.745	1m 40s	1m 10s	28.0%	53.6 MB	60.9 MB	2 GB	13.6 KB
8	85/1fbb9a	31e9b7e7-6c9d-411f-b332-32e074ae60de	generateRDF (7)	COMPLETED	0	2024-10-26 19:25:24.749	1m 40s	1m 9s	27.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
40	46/053e37	a7e4c4f1-c69f-419a-bad2-1822571409cd	generateRDF (39)	COMPLETED	0	2024-10-26 19:25:24.754	1m 41s	1m 3s	28.8%	53.8 MB	60.9 MB	2 GB	13.6 KB
18	63/97a5f8	5ccf1eee-704d-47ea-81ff-f11e14504695	generateRDF (17)	COMPLETED	0	2024-10-26 19:25:24.754	1m 41s	1m 10s	26.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
24	cb/03566d	c603d686-5f82-48a6-b208-903c84546ba3	generateRDF (23)	COMPLETED	0	2024-10-26 19:25:24.762	1m 41s	1m 8s	26.4%	53.6 MB	60.9 MB	2 GB	13.6 KB
32	81/2142f5	f3516e7a-11f4-4782-88cc-3c70d74567ce	generateRDF (31)	COMPLETED	0	2024-10-26 19:25:24.766	1m 41s	1m 5s	25.9%	53.5 MB	60.9 MB	2 GB	13.6 KB
33	b4/4516b9	997b63f5-5229-4c9b-8907-61e696f1c89d	generateRDF (32)	COMPLETED	0	2024-10-26 19:25:24.774	1m 41s	1m 8s	26.9%	53.6 MB	60.9 MB	2 GB	13.6 KB
13	c5/ab154e	55121a9f-c641-4b52-8a40-6e7755544875	generateRDF (12)	COMPLETED	0	2024-10-26 19:25:24.774	1m 41s	1m 7s	28.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
7	fd/279384	62ac67a6-606d-4b82-8f49-8fdb2ce91f55	generateRDF (6)	COMPLETED	0	2024-10-26 19:25:24.774	1m 41s	1m 5s	29.9%	53.7 MB	60.9 MB	2 GB	13.6 KB
26	9d/979074	5f318243-5f7f-47ed-9d43-e197c340225f	generateRDF (25)	COMPLETED	0	2024-10-26 19:25:24.785	1m 41s	1m 8s	32.1%	53.7 MB	60.9 MB	2 GB	13.6 KB
49	df/a9f043	332db17d-6f4e-4caf-98ba-5d814c8454e6	generateRDF (48)	COMPLETED	0	2024-10-26 19:25:24.792	1m 42s	1m 7s	28.3%	53.6 MB	60.9 MB	2 GB	13.6 KB
48	d1/60c79e	611b5652-b7d1-48a2-8864-34dfc9ff3bb6	generateRDF (47)	COMPLETED	0	2024-10-26 19:25:24.796	1m 42s	1m 4s	27.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
29	56/4c8bcf	8d55bc86-638f-44ac-beff-48301326a4a0	generateRDF (28)	COMPLETED	0	2024-10-26 19:25:24.797	1m 42s	1m 7s	30.0%	53.7 MB	60.9 MB	2 GB	13.6 KB
37	da/174794	2d0a3f34-1a00-4b9e-a365-1b43ee73d49a	generateRDF (36)	COMPLETED	0	2024-10-26 19:25:24.796	1m 42s	1m 7s	29.1%	53.7 MB	60.9 MB	2 GB	13.6 KB
35	da/a4a0a3	0b46771a-2796-41a7-9f61-e282584d732d	generateRDF (34)	COMPLETED	0	2024-10-26 19:25:24.798	1m 42s	1m 8s	21.9%	53.5 MB	60.9 MB	2 GB	13.6 KB
38	91/b583ce	37670131-a109-45af-a016-ef5897864c16	generateRDF (37)	COMPLETED	0	2024-10-26 19:25:24.814	1m 42s	1m 5s	28.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
28	d8/f0a536	d7051ee0-88e8-4306-b2bf-01b1486062ad	generateRDF (27)	COMPLETED	0	2024-10-26 19:25:24.829	1m 42s	1m 13s	25.2%	53.5 MB	60.9 MB	2 GB	13.6 KB
50	24/ba76f1	119842f2-39e4-43b6-a16a-4f65391f759b	generateRDF (49)	COMPLETED	0	2024-10-26 19:25:24.869	1m 42s	1m 7s	29.0%	53.4 MB	60.9 MB	2 GB	13.6 KB
42	a5/2c14be	c1e17fb6-b563-41f5-842b-f4d99bde37df	generateRDF (41)	COMPLETED	0	2024-10-26 19:25:24.881	1m 42s	1m 6s	27.8%	53.6 MB	60.9 MB	2 GB	13.6 KB
78	dd/19356d	dfc97747-35cf-406c-9f5e-a2622e6194ad	generateRDF (77)	COMPLETED	0	2024-10-26 19:25:25.047	2m 29s	32.4s	49.7%	53.6 MB	60.9 MB	2 GB	13.6 KB
64	d6/358259	c0c2fc96-1b17-423e-aba0-0893754442b8	generateRDF (63)	COMPLETED	0	2024-10-26 19:25:25.056	2m 29s	31.7s	45.3%	53.8 MB	60.9 MB	2 GB	13.6 KB
77	d1/5c2b85	f457d9d4-77c9-4db3-bbbc-a301c4d085f4	generateRDF (76)	COMPLETED	0	2024-10-26 19:25:25.079	2m 29s	36.3s	49.1%	53.5 MB	60.9 MB	2 GB	13.6 KB
90	be/61b6cc	b782ea95-14d3-4fa7-a752-c2df2eec54ac	generateRDF (89)	COMPLETED	0	2024-10-26 19:25:25.160	2m 29s	30.8s	52.0%	53.8 MB	60.9 MB	2 GB	13.6 KB
36	34/b322af	66465a50-0881-44a6-9644-8ef75c24f5b9	generateRDF (35)	COMPLETED	0	2024-10-26 19:25:24.860	2m 39s	37.6s	70.3%	53.6 MB	60.9 MB	2 GB	13.6 KB
