task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	47/f635f1	d233c208-9942-43c4-9254-e7cd65c21264	listFiles	COMPLETED	0	2024-11-02 20:08:39.472	4m 8s	657ms	91.7%	13 MB	17.7 MB	9.3 MB	82.4 KB
18	e5/ce05a6	99acb799-226c-46f8-9e6b-43be0269671c	generateRDF (17)	COMPLETED	0	2024-11-02 20:12:49.080	1m 59s	51.3s	41.9%	53.7 MB	61 MB	1.3 GB	17.3 KB
28	7c/4b4e54	3ee2c5cf-b368-4a10-9cb9-b8df61bbf088	generateRDF (27)	COMPLETED	0	2024-11-02 20:12:49.151	2m 19s	1m 9s	44.8%	53.7 MB	61 MB	1.8 GB	17.3 KB
79	68/c31041	0a43582f-70c8-4afd-9c5b-6120be4f051d	generateRDF (78)	COMPLETED	0	2024-11-02 20:12:49.477	2m 19s	59.2s	41.7%	54 MB	61 MB	1.6 GB	17.3 KB
101	6a/b0c0a4	34ecd0e9-db50-474c-a38b-4047ab68fdd4	generateRDF (100)	COMPLETED	0	2024-11-02 20:12:49.940	2m 18s	55.9s	66.9%	53.9 MB	61 MB	2.1 GB	17.3 KB
8	c4/0201b0	a7176e25-1afd-4744-b1ba-303471760cd9	generateRDF (7)	COMPLETED	0	2024-11-02 20:12:49.066	2m 29s	1m 23s	40.7%	53.8 MB	61 MB	2.2 GB	17.3 KB
62	fa/6cf25b	1fda7fa5-8616-4ebe-8f57-cb4f3b622c71	generateRDF (61)	COMPLETED	0	2024-11-02 20:12:49.342	2m 59s	1m 41s	72.5%	53.9 MB	61 MB	5.1 GB	17.3 KB
35	89/30c457	d76d9d07-c672-43a4-a09b-d305e450bf4f	generateRDF (34)	COMPLETED	0	2024-11-02 20:12:49.140	3m 19s	2m 4s	40.2%	54 MB	61 MB	3.3 GB	17.3 KB
60	9b/27fe04	5d1a7128-5f0f-48bb-b627-828c127b89fb	generateRDF (59)	COMPLETED	0	2024-11-02 20:12:49.246	3m 39s	3m 10s	79.9%	53.8 MB	61 MB	8 GB	17.3 KB
25	a1/03a93d	0e88f353-0e90-4867-9ca5-7a3e61125e0e	generateRDF (24)	COMPLETED	0	2024-11-02 20:12:49.120	3m 49s	2m 38s	57.0%	53.8 MB	61 MB	8 GB	17.3 KB
70	f4/fe8e6c	f9cc3563-2335-40ea-a2ad-3c1980bbd98e	generateRDF (69)	COMPLETED	0	2024-11-02 20:12:49.296	3m 49s	2m 34s	29.5%	53.8 MB	61 MB	3.9 GB	17.3 KB
14	12/799dfa	ab1b0c77-06b9-4eb6-8663-7d08b1c8a712	generateRDF (13)	COMPLETED	0	2024-11-02 20:12:49.046	3m 59s	2m 48s	52.2%	53.9 MB	61 MB	8 GB	17.3 KB
2	61/60c9d3	137ef31d-7641-4496-ac80-fcdbcce5d476	generateRDF (1)	COMPLETED	0	2024-11-02 20:12:49.080	3m 59s	2m 52s	49.8%	54.1 MB	61 MB	8 GB	17.3 KB
46	fc/9ebbf2	0195e2c2-a42f-4ee3-9a97-25e74bd4621c	generateRDF (45)	COMPLETED	0	2024-11-02 20:12:49.116	3m 59s	2m 57s	77.8%	53.9 MB	61 MB	8 GB	17.3 KB
49	4f/97008e	34209a41-c6a7-4bf4-b4b7-ef1a1a1529c3	generateRDF (48)	COMPLETED	0	2024-11-02 20:12:49.190	3m 59s	2m 43s	54.2%	54 MB	61 MB	8 GB	17.3 KB
59	9e/ec3aed	1829cbc5-7471-4f55-b404-b921eb15e995	generateRDF (58)	COMPLETED	0	2024-11-02 20:12:49.225	3m 59s	2m 45s	71.4%	54 MB	61 MB	8 GB	17.3 KB
61	12/da2ef1	ea414e2d-5e76-4fed-bc83-5733ae8333ad	generateRDF (60)	COMPLETED	0	2024-11-02 20:12:49.226	3m 59s	3m 27s	59.8%	53.7 MB	61 MB	8 GB	17.3 KB
3	c4/ad4374	5a274e12-6324-4e6b-9bb6-a6ee06604352	generateRDF (2)	COMPLETED	0	2024-11-02 20:12:48.955	4m 9s	3m 4s	71.6%	53.8 MB	61 MB	8 GB	17.3 KB
48	53/ea9f3b	7d2fa164-5eae-4771-8014-2b8bd9cb525f	generateRDF (47)	COMPLETED	0	2024-11-02 20:12:49.120	4m 9s	3m 6s	69.2%	53.8 MB	61 MB	8 GB	17.3 KB
39	04/87a04f	81df2705-e92b-472e-b1c7-4c1aebcb3cfa	generateRDF (38)	COMPLETED	0	2024-11-02 20:12:49.130	4m 9s	2m 55s	68.8%	53.8 MB	61 MB	8 GB	17.3 KB
45	ba/db1cc9	6407eeb1-bb2b-4bdf-a99a-90781f20107c	generateRDF (44)	COMPLETED	0	2024-11-02 20:12:49.137	4m 9s	2m 58s	75.1%	54.1 MB	61 MB	8 GB	17.3 KB
44	5c/d2419b	4eb339b6-848c-4893-84a7-005f85c0c3c7	generateRDF (43)	COMPLETED	0	2024-11-02 20:12:49.170	4m 9s	2m 55s	63.5%	54 MB	61 MB	8 GB	17.3 KB
50	fc/373491	527ac28a-906c-43dd-91c3-c20ee3d8e0aa	generateRDF (49)	COMPLETED	0	2024-11-02 20:12:49.261	4m 9s	2m 55s	83.4%	54 MB	61 MB	8 GB	17.3 KB
80	3a/d1aa33	62a95e8d-6860-41aa-8b72-4a97f346c3f4	generateRDF (79)	COMPLETED	0	2024-11-02 20:12:49.318	4m 10s	2m 58s	76.3%	53.8 MB	61 MB	8 GB	17.3 KB
38	0d/2e6ac0	981baa47-91a1-4296-90cc-7b92e9f6ff28	generateRDF (37)	COMPLETED	0	2024-11-02 20:12:49.138	4m 19s	3m 6s	69.0%	53.7 MB	61 MB	8 GB	17.3 KB
36	d4/621f65	1ebc56c4-16dc-49dd-b297-f9a0f77e8775	generateRDF (35)	COMPLETED	0	2024-11-02 20:12:49.193	4m 19s	3m 1s	78.4%	53.8 MB	61 MB	8 GB	17.3 KB
69	38/d3302b	ce333261-d9a2-45bc-8d68-70cd94ec277d	generateRDF (68)	COMPLETED	0	2024-11-02 20:12:49.277	4m 19s	3m 3s	73.8%	53.7 MB	61 MB	8 GB	17.3 KB
57	49/19d2fe	c95c6e8c-bab6-4c4e-b7e6-5b152528ad6d	generateRDF (56)	COMPLETED	0	2024-11-02 20:12:49.300	4m 19s	3m 1s	74.3%	53.8 MB	61 MB	8 GB	17.3 KB
84	4f/acfcad	29f13886-66a0-4af2-ae90-d1f7959a2ed3	generateRDF (83)	COMPLETED	0	2024-11-02 20:12:49.439	4m 19s	3m 6s	79.3%	53.8 MB	61 MB	8 GB	17.3 KB
86	c9/a73c4e	fe7b413e-940f-4fc0-83b9-16bedad65954	generateRDF (85)	COMPLETED	0	2024-11-02 20:12:49.477	4m 19s	3m 6s	72.0%	53.9 MB	61 MB	8 GB	17.3 KB
37	6d/7dafda	bfe7cb6e-7f49-48d3-9fdd-708aa51379ef	generateRDF (36)	COMPLETED	0	2024-11-02 20:12:49.119	4m 29s	3m 23s	68.4%	54.2 MB	61 MB	8 GB	17.3 KB
52	6b/993824	1c6c1855-d95f-45fa-a67f-16f83aa09450	generateRDF (51)	COMPLETED	0	2024-11-02 20:12:49.136	4m 29s	3m 19s	78.9%	53.7 MB	61 MB	8 GB	17.3 KB
55	e6/4f28a5	4d6d81b0-2f8a-4578-b631-cb7c8c02c1ea	generateRDF (54)	COMPLETED	0	2024-11-02 20:12:49.206	4m 29s	3m 15s	69.5%	54 MB	61 MB	8 GB	17.3 KB
81	9c/368588	ec8286cd-7819-431c-94cd-6b23ef63d922	generateRDF (80)	COMPLETED	0	2024-11-02 20:12:49.347	4m 29s	3m 9s	45.4%	53.8 MB	61 MB	8 GB	17.3 KB
82	ca/6c16b5	81970fd7-9d68-4bc9-81c7-cc0d26b33c19	generateRDF (81)	COMPLETED	0	2024-11-02 20:12:49.486	4m 29s	3m 15s	73.1%	53.8 MB	61 MB	8 GB	17.3 KB
47	7a/d12384	eda93a6b-0485-49d8-9b6f-e98509279404	generateRDF (46)	COMPLETED	0	2024-11-02 20:12:49.143	4m 39s	3m 29s	73.8%	53.8 MB	61 MB	8 GB	17.3 KB
53	a5/1067f4	ed4e37c6-5f7b-4e32-b639-f4d87c8003c9	generateRDF (52)	COMPLETED	0	2024-11-02 20:12:49.176	4m 39s	3m 27s	76.3%	53.6 MB	61 MB	8 GB	17.3 KB
54	ee/578fbe	914a8a28-5a7d-4d88-8cb2-4fa9a11d8bcf	generateRDF (53)	COMPLETED	0	2024-11-02 20:12:49.185	4m 39s	3m 31s	72.2%	53.8 MB	61 MB	8 GB	17.3 KB
85	eb/fbd014	9d150047-8af9-4500-a594-a6acfb09b702	generateRDF (84)	COMPLETED	0	2024-11-02 20:12:49.508	4m 39s	3m 23s	71.6%	53.9 MB	61 MB	8 GB	17.3 KB
87	d1/f4323c	617a86b9-3e72-4cef-a6d0-7d2226efd260	generateRDF (86)	COMPLETED	0	2024-11-02 20:12:49.581	4m 39s	3m 27s	59.0%	53.8 MB	61 MB	8 GB	17.3 KB
95	d3/66620f	685f2398-2363-49fe-89d7-7aedef746a05	generateRDF (94)	COMPLETED	0	2024-11-02 20:12:49.687	4m 39s	3m 21s	76.6%	54.1 MB	61 MB	8 GB	17.3 KB
97	d2/451cc3	39bd2518-4da4-4a65-9fad-ec8b55257820	generateRDF (96)	COMPLETED	0	2024-11-02 20:12:49.706	4m 39s	3m 22s	75.4%	53.9 MB	61 MB	8 GB	17.3 KB
41	c4/4e37ac	5226004b-2e4b-478d-979b-4c84c1194d04	generateRDF (40)	COMPLETED	0	2024-11-02 20:12:49.139	4m 49s	3m 32s	64.0%	53.9 MB	61 MB	8 GB	17.3 KB
