task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9d/2a0bfe	78136e21-ad46-4117-88ff-1a3cc4e4a41a	listFiles	COMPLETED	0	2024-10-26 19:47:07.558	1m 7s	567ms	85.5%	12.5 MB	17.6 MB	9.3 MB	40.3 KB
156	77/e2db7a	e3c22f92-bdff-4d01-b869-f7cbf8c1b671	generateRDF (155)	COMPLETED	0	2024-10-26 19:48:18.140	47.1s	1.5s	69.6%	54.9 MB	60.9 MB	10.5 MB	23.2 KB
81	95/4c5855	e4214141-29c3-4b9b-8c70-69a9098a69f7	generateRDF (80)	COMPLETED	0	2024-10-26 19:48:16.677	58.4s	29.5s	57.3%	53.7 MB	60.9 MB	2 GB	13.6 KB
108	1c/8c57df	748821ce-75ef-4411-ba20-991e4e443c40	generateRDF (107)	COMPLETED	0	2024-10-26 19:48:17.160	58.2s	30.1s	54.3%	53.6 MB	60.9 MB	2 GB	13.6 KB
113	52/f773f6	fc9b7d8a-fd2e-49be-8cd5-ab46a367994c	generateRDF (112)	COMPLETED	0	2024-10-26 19:48:17.272	58.2s	30.4s	52.2%	53.5 MB	60.9 MB	2 GB	13.6 KB
119	cc/538d78	cc1a1a27-bc31-408f-8917-af9b4b78f167	generateRDF (118)	COMPLETED	0	2024-10-26 19:48:17.319	58.3s	31.5s	51.6%	53.7 MB	60.9 MB	2 GB	13.6 KB
146	95/108d30	06c91a9b-f4bb-4679-b4a9-f75be98ed629	generateRDF (145)	COMPLETED	0	2024-10-26 19:48:17.892	57.9s	31s	43.2%	53.8 MB	60.9 MB	2 GB	13.6 KB
143	f4/e2fbe7	973d9cbd-839e-47f3-9973-7471250109e5	generateRDF (142)	COMPLETED	0	2024-10-26 19:48:17.950	57.9s	29s	48.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
145	09/704e68	85ca29da-0918-45e9-a426-6d29f2c330b6	generateRDF (144)	COMPLETED	0	2024-10-26 19:48:17.962	58.1s	30.2s	45.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
148	85/d9afd0	47ffb83a-a735-419f-bb55-478a665d70cb	generateRDF (147)	COMPLETED	0	2024-10-26 19:48:18.011	58.1s	29.8s	50.1%	53.7 MB	60.9 MB	2 GB	13.6 KB
25	e6/070559	9e549376-2525-4bca-879f-e18bbc05c50f	generateRDF (24)	COMPLETED	0	2024-10-26 19:48:16.255	1m 9s	29.9s	52.2%	53.6 MB	60.9 MB	2 GB	13.6 KB
86	68/c47101	a674b333-326c-48ab-b9ad-1b961e3a5f98	generateRDF (85)	COMPLETED	0	2024-10-26 19:48:16.736	1m 8s	45.1s	42.3%	53.5 MB	60.9 MB	2 GB	13.6 KB
93	37/fb22e0	120fba36-2049-4269-a045-b85ecf7b3e80	generateRDF (92)	COMPLETED	0	2024-10-26 19:48:16.880	1m 8s	30.6s	49.9%	53.7 MB	60.9 MB	2 GB	13.6 KB
98	fa/3fa365	23380de0-5382-419d-b7f9-67092ed66404	generateRDF (97)	COMPLETED	0	2024-10-26 19:48:16.997	1m 9s	31.9s	52.7%	53.6 MB	60.9 MB	2 GB	13.6 KB
106	cf/807586	5c2d8b50-c3a0-46b0-af30-c38c937b3f01	generateRDF (105)	COMPLETED	0	2024-10-26 19:48:17.157	1m 9s	33.3s	49.2%	53.8 MB	60.9 MB	2 GB	13.6 KB
111	31/d2f845	50ce3296-5959-478f-b1a6-0c4e1b21e60d	generateRDF (110)	COMPLETED	0	2024-10-26 19:48:17.301	1m 9s	33.1s	57.7%	53.6 MB	60.9 MB	2 GB	13.6 KB
120	f9/e7b0d6	18cb1cc9-ede6-4301-9d75-7eb1afd59945	generateRDF (119)	COMPLETED	0	2024-10-26 19:48:17.355	1m 9s	30.3s	64.2%	53.7 MB	60.9 MB	2 GB	13.6 KB
142	5e/812832	3277e053-da85-4ce8-99c1-f1755cd9d7a9	generateRDF (141)	COMPLETED	0	2024-10-26 19:48:17.939	1m 8s	31.6s	49.5%	53.7 MB	60.9 MB	2 GB	13.6 KB
151	02/5a353e	26db009a-c558-4f83-9662-9cf17a0285e8	generateRDF (150)	COMPLETED	0	2024-10-26 19:48:18.136	1m 8s	18.2s	53.4%	53.9 MB	60.9 MB	1.1 GB	13.6 KB
23	7d/80cf0d	41bd7c91-95a0-4d3e-957f-51e43ac4f21d	generateRDF (22)	COMPLETED	0	2024-10-26 19:48:16.232	1m 19s	58.8s	23.0%	53.7 MB	60.9 MB	2 GB	13.6 KB
8	30/d64e5c	f51a6037-9869-4900-b589-bb31295a1492	generateRDF (7)	COMPLETED	0	2024-10-26 19:48:16.247	1m 19s	58.4s	23.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
64	fe/00f3a8	3a582d4c-12c4-41a9-97fc-511285fb2b76	generateRDF (63)	COMPLETED	0	2024-10-26 19:48:16.466	1m 19s	32.3s	44.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
84	5b/9f62b1	606040d4-d28a-4de0-b116-b30aa792bdda	generateRDF (83)	COMPLETED	0	2024-10-26 19:48:16.546	1m 19s	30.5s	52.4%	53.8 MB	60.9 MB	2 GB	13.6 KB
77	7c/346d9a	da8a110f-6f9f-419f-9c1d-ecebed46f462	generateRDF (76)	COMPLETED	0	2024-10-26 19:48:16.560	1m 19s	28.7s	57.4%	53.9 MB	60.9 MB	2 GB	13.6 KB
91	15/8d299a	c737d6db-e0d3-4b64-8930-e9c61e133570	generateRDF (90)	COMPLETED	0	2024-10-26 19:48:16.796	1m 19s	51.1s	36.2%	53.6 MB	60.9 MB	2 GB	13.6 KB
90	e7/36edcc	db625905-cd7e-469d-848d-b85c54c0d1fb	generateRDF (89)	COMPLETED	0	2024-10-26 19:48:16.834	1m 19s	53.3s	36.2%	53.8 MB	60.9 MB	2 GB	13.6 KB
96	59/11e3ee	b056f7b5-95ae-485c-bea6-3fc1f94cde0d	generateRDF (95)	COMPLETED	0	2024-10-26 19:48:16.942	1m 19s	30.5s	50.1%	53.5 MB	60.9 MB	2 GB	13.6 KB
100	60/d6818c	ec262c77-47b4-49ed-b4ed-fddfdcc27447	generateRDF (99)	COMPLETED	0	2024-10-26 19:48:17.054	1m 19s	55.4s	33.0%	53.5 MB	60.9 MB	2 GB	13.6 KB
110	ab/544c3d	adb6e991-c78d-455c-bf64-3b9101148136	generateRDF (109)	COMPLETED	0	2024-10-26 19:48:17.219	1m 19s	42.9s	44.9%	53.6 MB	60.9 MB	2 GB	13.6 KB
121	54/84ee06	8519ce08-a17b-4fb6-b966-3000a0dad262	generateRDF (120)	COMPLETED	0	2024-10-26 19:48:17.496	1m 19s	33.3s	50.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
128	42/42135f	62e2a506-b215-4883-ac2e-6875a8978af5	generateRDF (127)	COMPLETED	0	2024-10-26 19:48:17.547	1m 19s	30.1s	50.9%	53.5 MB	60.9 MB	2 GB	13.6 KB
133	17/c90458	66b95116-d577-4b9f-be1a-9ddfa50d5b2b	generateRDF (132)	COMPLETED	0	2024-10-26 19:48:17.639	1m 19s	33.3s	50.7%	53.8 MB	60.9 MB	2 GB	13.6 KB
135	c2/882cc7	5b001e10-95f4-4da1-805f-712f4036b16e	generateRDF (134)	COMPLETED	0	2024-10-26 19:48:17.670	1m 19s	29.5s	52.8%	53.6 MB	60.9 MB	2 GB	13.6 KB
131	9f/566c94	f1b033e7-3ff7-459f-b4e3-7108a27ae807	generateRDF (130)	COMPLETED	0	2024-10-26 19:48:17.782	1m 19s	34.5s	47.8%	53.6 MB	60.9 MB	2 GB	13.6 KB
140	a5/2d0d55	0cb5a75d-0cce-4ba2-b8ce-d950a21b3dd6	generateRDF (139)	COMPLETED	0	2024-10-26 19:48:17.844	1m 19s	31.2s	48.1%	53.8 MB	60.9 MB	2 GB	13.6 KB
141	91/f2f9ab	6ff03ef8-3739-4f4d-b4b9-dc351addd687	generateRDF (140)	COMPLETED	0	2024-10-26 19:48:17.858	1m 19s	30.8s	50.0%	53.7 MB	60.9 MB	2 GB	13.6 KB
155	ff/83376c	120d887d-67be-49a6-a996-f5fee82077b4	generateRDF (154)	COMPLETED	0	2024-10-26 19:48:18.065	1m 19s	53.3s	25.5%	53.5 MB	60.9 MB	2 GB	13.6 KB
14	13/331cd8	5e5877a9-954a-4c07-a586-6a09ce4e1b1d	generateRDF (13)	COMPLETED	0	2024-10-26 19:48:16.111	1m 29s	41.5s	44.3%	53.7 MB	60.9 MB	2 GB	13.6 KB
22	35/2e7d9f	d0f34341-7b35-4686-a4be-a69c81538081	generateRDF (21)	COMPLETED	0	2024-10-26 19:48:16.222	1m 29s	1m 5s	28.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
2	f3/cb0bb9	e38259ff-f7ce-4ff3-ba3d-efe7cd9272a8	generateRDF (1)	COMPLETED	0	2024-10-26 19:48:16.283	1m 29s	43.9s	45.6%	53.7 MB	60.9 MB	2 GB	13.6 KB
35	62/bfe156	2512183a-bc87-424f-aec7-1c2817c0e892	generateRDF (34)	COMPLETED	0	2024-10-26 19:48:16.323	1m 29s	1m 11s	27.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
3	b8/a63032	3b3cda7f-08bc-4353-a5d8-66b20b7de6e7	generateRDF (2)	COMPLETED	0	2024-10-26 19:48:16.328	1m 29s	41.4s	43.6%	53.9 MB	60.9 MB	2 GB	13.6 KB
44	26/9d1181	a89a05b7-07c7-4c0a-abbc-a40be089f1cd	generateRDF (43)	COMPLETED	0	2024-10-26 19:48:16.417	1m 29s	40.3s	33.4%	53.7 MB	60.9 MB	1.2 GB	13.6 KB
63	e2/a0c4bf	133f8e49-d385-4ce1-af29-ab9b6f02d09f	generateRDF (62)	COMPLETED	0	2024-10-26 19:48:16.505	1m 29s	43.9s	30.4%	53.7 MB	60.9 MB	1.6 GB	13.6 KB
71	76/d4b712	fd62b757-f419-401d-9b8f-47d145d0ec2a	generateRDF (70)	COMPLETED	0	2024-10-26 19:48:16.519	1m 29s	43.4s	48.5%	53.6 MB	60.9 MB	2 GB	13.6 KB
69	e4/ea4e93	47f77b2b-813e-4d63-a896-1a3b38a0c514	generateRDF (68)	COMPLETED	0	2024-10-26 19:48:16.528	1m 30s	44.4s	44.9%	53.5 MB	60.9 MB	2 GB	13.6 KB
80	fc/ec685f	3d2c166e-f040-4957-b795-a03615ebf811	generateRDF (79)	COMPLETED	0	2024-10-26 19:48:16.628	1m 30s	1m 3s	30.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
85	2d/dea282	51743902-5715-41a0-a0ba-fd7d8aee5439	generateRDF (84)	COMPLETED	0	2024-10-26 19:48:16.787	1m 30s	1m 5s	28.4%	53.5 MB	60.9 MB	2 GB	13.6 KB
89	93/acde46	de85d4c1-5c81-4d44-8e7b-457c91dad123	generateRDF (88)	COMPLETED	0	2024-10-26 19:48:16.871	1m 30s	53.8s	33.5%	53.7 MB	60.9 MB	2 GB	13.6 KB
97	8e/42e270	bc7961cf-d2a3-4715-a3a2-8c245c34ea43	generateRDF (96)	COMPLETED	0	2024-10-26 19:48:16.949	1m 30s	58.5s	32.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
99	c8/5d97dd	247d4284-7eda-46ba-8bb1-bab6d0436fa3	generateRDF (98)	COMPLETED	0	2024-10-26 19:48:16.954	1m 30s	56s	38.8%	53.6 MB	60.9 MB	2 GB	13.6 KB
102	78/40f862	9c541422-2eff-4d0e-9051-2dfd5dcac491	generateRDF (101)	COMPLETED	0	2024-10-26 19:48:17.062	1m 30s	59.4s	32.8%	53.7 MB	60.9 MB	2 GB	13.6 KB
101	e7/1a2cca	3da3ce04-0515-43a6-ad8f-ea8d9737009c	generateRDF (100)	COMPLETED	0	2024-10-26 19:48:17.090	1m 30s	59.2s	31.3%	53.6 MB	60.9 MB	2 GB	13.6 KB
109	45/736113	d87b9c1c-1ad0-452f-8b63-6ae058a33b71	generateRDF (108)	COMPLETED	0	2024-10-26 19:48:17.122	1m 30s	55.1s	35.4%	53.5 MB	60.9 MB	2 GB	13.6 KB
105	5c/251949	a602f571-688f-4ac8-a560-6a6e80d84e1f	generateRDF (104)	COMPLETED	0	2024-10-26 19:48:17.170	1m 30s	53.8s	39.2%	53.7 MB	60.9 MB	2 GB	13.6 KB
107	1c/0ecdca	2c651d37-e731-4365-844e-b8e3a1393ac3	generateRDF (106)	COMPLETED	0	2024-10-26 19:48:17.284	1m 30s	51.7s	35.6%	53.8 MB	60.9 MB	2 GB	13.6 KB
117	ba/cba071	d847725b-797a-444b-80c3-6adec436c9bf	generateRDF (116)	COMPLETED	0	2024-10-26 19:48:17.448	1m 30s	46.3s	42.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
130	f5/04edab	0d25fe8d-33cb-494e-9e10-105783750be7	generateRDF (129)	COMPLETED	0	2024-10-26 19:48:17.582	1m 30s	42.2s	44.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
134	a9/c765d0	f96ba311-aa01-43ec-9b6f-86eb69aa5d0c	generateRDF (133)	COMPLETED	0	2024-10-26 19:48:17.628	1m 30s	42s	44.2%	53.6 MB	60.9 MB	2 GB	13.6 KB
127	63/178e08	9f6118f0-c84e-4dbc-9175-b2b29cd405d8	generateRDF (126)	COMPLETED	0	2024-10-26 19:48:17.796	1m 30s	42.7s	45.9%	53.7 MB	60.9 MB	2 GB	13.6 KB
147	ce/e21e90	e8e797ab-493a-481f-8175-15069130553c	generateRDF (146)	COMPLETED	0	2024-10-26 19:48:17.966	1m 30s	40.2s	49.6%	53.7 MB	60.9 MB	2 GB	13.6 KB
154	ed/82278c	d0e44acb-7f2d-4872-874e-abc16c744c75	generateRDF (153)	COMPLETED	0	2024-10-26 19:48:18.019	1m 30s	56.1s	24.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
153	61/29d46b	84db3dd9-ee76-4c66-be44-13d453296834	generateRDF (152)	COMPLETED	0	2024-10-26 19:48:18.066	1m 30s	55.9s	24.1%	53.4 MB	60.9 MB	2 GB	13.6 KB
5	d0/9ebf06	5f268ab8-4969-4649-a8b9-721bb9408687	generateRDF (4)	COMPLETED	0	2024-10-26 19:48:16.278	1m 39s	1m 17s	24.4%	53.9 MB	60.9 MB	2 GB	13.6 KB
13	1b/dd914e	679df551-526e-42d3-9de7-3355addd85da	generateRDF (12)	COMPLETED	0	2024-10-26 19:48:16.328	1m 39s	55.2s	30.9%	53.6 MB	60.9 MB	2 GB	13.6 KB
36	2c/8f54eb	6db602f9-c5dc-4803-b43e-300c4e213a8c	generateRDF (35)	COMPLETED	0	2024-10-26 19:48:16.332	1m 39s	56.8s	34.7%	53.6 MB	60.9 MB	2 GB	13.6 KB
65	9f/15c7b5	28ce9fd0-f6e5-45f5-ad9b-82d9fd9ad0e5	generateRDF (64)	COMPLETED	0	2024-10-26 19:48:16.441	1m 39s	53.6s	35.2%	53.8 MB	60.9 MB	2 GB	13.6 KB
66	69/e0ce6d	8b8c29d6-9a26-4129-b992-640ffc599398	generateRDF (65)	COMPLETED	0	2024-10-26 19:48:16.479	1m 39s	54.7s	38.4%	53.8 MB	60.9 MB	2 GB	13.6 KB
