task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
42	1f/b5d9f5	3b5ce14c-4411-49b5-b682-bc4327b23065	generateRDF (41)	COMPLETED	0	2024-11-02 19:46:19.036	4m 29s	2m 38s	47.3%	53.8 MB	61 MB	8 GB	17.3 KB
62	c6/7f46a7	8beb9775-c49b-45d7-8b27-04b757fc32cb	generateRDF (61)	COMPLETED	0	2024-11-02 19:46:19.081	4m 29s	2m 38s	32.1%	53.9 MB	61 MB	5.1 GB	17.3 KB
144	32/90600c	376dae15-669c-4056-9e32-245fe52ae538	generateRDF (143)	COMPLETED	0	2024-11-02 19:46:20.609	4m 28s	2m 37s	28.0%	53.8 MB	61 MB	4.3 GB	17.3 KB
171	e1/b4eefd	ba93899a-4db2-447c-bd29-3681448b928f	generateRDF (170)	COMPLETED	0	2024-11-02 19:46:21.074	4m 28s	2m 35s	47.3%	53.8 MB	61 MB	8 GB	17.3 KB
192	9e/a560ed	6928b2e8-ead1-494d-a2e0-3e750666f5b2	generateRDF (191)	COMPLETED	0	2024-11-02 19:46:21.523	4m 28s	2m 33s	48.7%	53.8 MB	61 MB	8 GB	17.3 KB
214	73/6d306c	9f8ed763-2bec-434f-8e5a-ac0e73681635	generateRDF (213)	COMPLETED	0	2024-11-02 19:46:21.890	4m 27s	2m 38s	27.0%	54 MB	61 MB	4.6 GB	17.3 KB
277	76/8e4af9	0f2e9f49-325a-473e-bbb4-e60110767a52	generateRDF (276)	COMPLETED	0	2024-11-02 19:46:22.965	4m 26s	44.3s	23.5%	53.8 MB	61 MB	969.1 MB	17.3 KB
95	f5/9e08f4	f9aba033-b0f2-46df-8a82-cfa9a3b96a7c	generateRDF (94)	COMPLETED	0	2024-11-02 19:46:19.506	4m 39s	2m 41s	44.4%	53.9 MB	61 MB	8 GB	17.3 KB
154	00/059e13	c7c4b304-3fc9-4f4d-a0f7-f52690e1c3ac	generateRDF (153)	COMPLETED	0	2024-11-02 19:46:20.677	4m 38s	2m 42s	45.5%	53.8 MB	61 MB	8 GB	17.3 KB
169	30/eb874c	f9b6a88f-a6df-416e-bf2e-d58becf6380d	generateRDF (168)	COMPLETED	0	2024-11-02 19:46:21.080	4m 38s	2m 46s	44.5%	53.9 MB	61 MB	8 GB	17.3 KB
210	00/012477	b055a07b-150c-4ceb-ab7f-89495965a60c	generateRDF (209)	COMPLETED	0	2024-11-02 19:46:21.911	4m 37s	2m 43s	45.2%	53.9 MB	61 MB	8 GB	17.3 KB
25	ba/c77687	dde35e15-9997-4104-a1b7-cff31d570044	generateRDF (24)	COMPLETED	0	2024-11-02 19:46:18.878	4m 49s	3m	40.0%	53.8 MB	61 MB	8 GB	17.3 KB
47	fd/ae60f2	0ab89535-2acd-48d4-94e5-7c620b3e57cc	generateRDF (46)	COMPLETED	0	2024-11-02 19:46:18.941	4m 49s	2m 56s	41.4%	53.8 MB	61 MB	8 GB	17.3 KB
46	e6/f32064	3b845e9b-24c0-4d44-8e6c-260e9a339810	generateRDF (45)	COMPLETED	0	2024-11-02 19:46:18.980	4m 49s	2m 54s	42.2%	53.9 MB	61 MB	8 GB	17.3 KB
93	2e/cb1634	1a53d9a9-e8b2-47a3-917b-b42b57e0cc44	generateRDF (92)	COMPLETED	0	2024-11-02 19:46:19.514	4m 49s	2m 53s	41.9%	54.1 MB	61 MB	8 GB	17.3 KB
142	23/917769	d8cf42da-0e4e-4f62-8546-817636844ac9	generateRDF (141)	COMPLETED	0	2024-11-02 19:46:20.533	4m 48s	2m 52s	44.4%	53.8 MB	61 MB	8 GB	17.3 KB
37	a7/ab6586	03362d67-4c25-43ea-af0a-cf4e2899a24b	generateRDF (36)	COMPLETED	0	2024-11-02 19:46:18.990	4m 59s	3m 5s	34.2%	53.8 MB	61 MB	8 GB	17.3 KB
96	1e/66c69f	25c6e8c1-3caf-4c27-97be-2f67a1bf39f9	generateRDF (95)	COMPLETED	0	2024-11-02 19:46:19.628	4m 59s	3m 1s	34.3%	54.1 MB	61 MB	8 GB	17.3 KB
108	7e/24ea0c	1bec0054-bf5d-4266-8b92-ed9b5c5901e0	generateRDF (107)	COMPLETED	0	2024-11-02 19:46:19.812	4m 59s	3m 1s	39.9%	54.1 MB	61 MB	8 GB	17.3 KB
110	78/2c686a	c0a32d65-3023-4f8f-b541-148b7adee3eb	generateRDF (109)	COMPLETED	0	2024-11-02 19:46:19.884	4m 59s	3m 1s	34.4%	53.8 MB	61 MB	8 GB	17.3 KB
111	be/9192d8	f8259dcc-7f59-4186-9616-306ce5ab0afa	generateRDF (110)	COMPLETED	0	2024-11-02 19:46:19.896	4m 59s	3m 3s	40.0%	54 MB	61 MB	8 GB	17.3 KB
118	50/f87a1c	1bbb101d-100c-4a11-bfb4-d69f7cb983e9	generateRDF (117)	COMPLETED	0	2024-11-02 19:46:19.966	4m 59s	3m 9s	32.0%	54 MB	61 MB	8 GB	17.3 KB
129	53/edeb52	1b17732f-bb65-4da3-8712-064769bfe9e8	generateRDF (128)	COMPLETED	0	2024-11-02 19:46:20.258	4m 59s	3m 4s	39.3%	53.8 MB	61 MB	8 GB	17.3 KB
128	00/f1dddc	c1e86669-8cb8-41c9-b8e7-abe73c6c6567	generateRDF (127)	COMPLETED	0	2024-11-02 19:46:20.285	4m 59s	3m 6s	41.6%	53.8 MB	61 MB	8 GB	17.3 KB
141	c0/b8eb7e	0af23da0-91f9-445c-b3fc-1abd9cbd73d1	generateRDF (140)	COMPLETED	0	2024-11-02 19:46:20.412	4m 59s	3m 10s	32.5%	53.9 MB	61 MB	8 GB	17.3 KB
167	a4/dcf08f	e7357325-a05d-48b2-a23c-42661ac632b5	generateRDF (166)	COMPLETED	0	2024-11-02 19:46:20.978	4m 58s	3m 9s	39.2%	53.9 MB	61 MB	8 GB	17.3 KB
174	d1/e3a2ce	7316ab60-151d-4dce-b8b5-c4a391388c74	generateRDF (173)	COMPLETED	0	2024-11-02 19:46:21.142	4m 58s	3m 9s	37.5%	53.8 MB	61 MB	8 GB	17.3 KB
178	56/db82c3	ce029b27-1bb9-4885-9b44-895b811f5fdc	generateRDF (177)	COMPLETED	0	2024-11-02 19:46:21.221	4m 59s	3m 7s	37.3%	53.8 MB	61 MB	8 GB	17.3 KB
196	68/d134dd	0478f06c-a0a5-46b1-ab3f-376cd24aea25	generateRDF (195)	COMPLETED	0	2024-11-02 19:46:21.541	4m 58s	3m 10s	37.4%	53.9 MB	61 MB	8 GB	17.3 KB
