task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e8/cc0bcf	eb809e0b-c4d0-47a2-b708-851d180412b3	listFiles	COMPLETED	0	2024-10-26 19:30:38.606	47.7s	540ms	93.3%	12.8 MB	17.6 MB	9.3 MB	40.3 KB
3	c0/71b8c4	13bbff66-8864-4850-bbb5-e538c02dc117	generateRDF (2)	COMPLETED	0	2024-10-26 19:31:27.301	1m 9s	40.6s	47.3%	53.8 MB	60.9 MB	2 GB	13.6 KB
14	d0/b9e2cc	d6d47df2-453b-4f6f-894b-393194ca88b2	generateRDF (13)	COMPLETED	0	2024-10-26 19:31:27.335	1m 9s	41.7s	42.6%	53.5 MB	60.9 MB	2 GB	13.6 KB
25	4f/bae996	5a64a6cd-e661-4cfd-a668-075d66cde46e	generateRDF (24)	COMPLETED	0	2024-10-26 19:31:27.432	1m 9s	38.3s	52.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
19	20/b45dd9	0d7be3a7-472f-4e82-b841-257a5967f7f2	generateRDF (18)	COMPLETED	0	2024-10-26 19:31:27.237	1m 29s	1m 7s	28.5%	53.6 MB	60.9 MB	2 GB	13.6 KB
5	38/1d5916	f2fdbf2f-2e97-4a58-b7e5-0ecb9406bbe4	generateRDF (4)	COMPLETED	0	2024-10-26 19:31:27.294	1m 29s	1m 2s	30.0%	53.7 MB	60.9 MB	2 GB	13.6 KB
21	69/00aaf6	9c207686-04f3-4661-a711-45bc2b7b93b7	generateRDF (20)	COMPLETED	0	2024-10-26 19:31:27.308	1m 29s	1m 2s	27.7%	53.5 MB	60.9 MB	2 GB	13.6 KB
6	5d/2438dd	5f302ff7-ce25-4ae2-84b4-b199e63eee04	generateRDF (5)	COMPLETED	0	2024-10-26 19:31:27.312	1m 30s	1m 3s	22.4%	53.7 MB	60.9 MB	2 GB	13.6 KB
23	34/f9c8a4	883d3495-cf86-4821-a082-8312caea34bd	generateRDF (22)	COMPLETED	0	2024-10-26 19:31:27.316	1m 30s	1m 2s	25.6%	53.8 MB	60.9 MB	2 GB	13.6 KB
24	cb/870bca	3980a1d5-a068-4e85-86c4-21d9068bae47	generateRDF (23)	COMPLETED	0	2024-10-26 19:31:27.318	1m 30s	1m 2s	22.0%	53.9 MB	60.9 MB	2 GB	13.6 KB
