task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ed/96c84e	a35bc969-7aec-4021-af82-fcdb575e3dd8	listFiles	COMPLETED	0	2024-10-26 19:51:36.479	28.4s	523ms	92.7%	12.7 MB	17.5 MB	9.3 MB	21.7 KB
42	db/60a949	feecfe4b-dc08-4013-9764-6b90ce707335	generateRDF (41)	COMPLETED	0	2024-10-26 19:52:06.088	28.8s	1.2s	66.9%	54.9 MB	60.9 MB	10.5 MB	23.2 KB
36	0e/7c1dfd	9345b992-70fe-4880-a2ab-ef042a500809	generateRDF (35)	COMPLETED	0	2024-10-26 19:52:06.011	1m 29s	1m 5s	24.5%	53.8 MB	60.9 MB	1.5 GB	13.6 KB
18	52/567417	bc9f0ea3-2be7-4336-a767-efe038f66f85	generateRDF (17)	COMPLETED	0	2024-10-26 19:52:05.971	1m 49s	1m 12s	45.3%	53.8 MB	60.9 MB	5.1 GB	13.6 KB
5	d6/2e70c9	54238184-0835-428c-9a97-a674c23ecdaa	generateRDF (4)	COMPLETED	0	2024-10-26 19:52:05.866	2m 9s	1m 53s	49.1%	53.5 MB	60.9 MB	8 GB	13.6 KB
6	f3/80cb19	ff1f8cfb-0b6b-4ca4-80e0-8d8e80bab6c4	generateRDF (5)	COMPLETED	0	2024-10-26 19:52:05.915	2m 9s	1m 53s	46.9%	53.5 MB	60.9 MB	8 GB	13.6 KB
26	80/2d6215	b0c335ff-0985-4c8a-901a-1d31641e33b1	generateRDF (25)	COMPLETED	0	2024-10-26 19:52:05.946	2m 9s	1m 49s	25.0%	53.8 MB	60.9 MB	3.9 GB	13.6 KB
13	c7/0b8cb7	2978c4c9-a015-4643-bcdc-50124a586e5d	generateRDF (12)	COMPLETED	0	2024-10-26 19:52:05.773	2m 19s	2m 4s	43.5%	53.6 MB	60.9 MB	8 GB	13.6 KB
11	99/c21561	44fbd9b9-d1ac-4625-9725-0ba182759ab1	generateRDF (10)	COMPLETED	0	2024-10-26 19:52:05.920	2m 19s	1m 58s	49.2%	53.4 MB	60.9 MB	8 GB	13.6 KB
17	43/8cc8a8	d718f67f-4d00-48a5-9a30-529cf2751e1f	generateRDF (16)	COMPLETED	0	2024-10-26 19:52:05.958	2m 19s	1m 54s	42.7%	53.7 MB	60.9 MB	8 GB	13.6 KB
