task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b7/d998b6	856a5740-36ff-491d-9cad-e42e975c088b	listFiles	COMPLETED	0	2024-11-02 21:03:47.922	3m 18s	551ms	91.2%	13.3 MB	18.7 MB	9.3 MB	230.4 KB
503	55/c42f36	36068921-d685-45ae-8d6e-d4901de3690c	generateRDF (502)	COMPLETED	0	2024-11-02 21:07:12.571	47.7s	6.1s	28.0%	54.1 MB	61 MB	157 MB	17.2 KB
948	9a/0815c1	6df6192b-7d28-426f-8754-47ecc1dad8c5	generateRDF (947)	COMPLETED	0	2024-11-02 21:07:14.853	45.8s	3.3s	43.6%	53.8 MB	61 MB	137.7 MB	17.2 KB
9	91/902e75	7151811f-9959-46e2-92b6-a3c9c462126b	generateRDF (8)	COMPLETED	0	2024-11-02 21:07:07.595	1m 2s	43.2s	26.4%	53.8 MB	61 MB	2 GB	17.2 KB
5	f6/035ff9	72ce3782-f082-4236-b49f-7dccf59f8dfd	generateRDF (4)	COMPLETED	0	2024-11-02 21:07:07.656	1m 2s	42s	27.2%	53.7 MB	61 MB	2 GB	17.2 KB
7	ed/3409e3	268602f2-253a-4fa8-abf2-6bee357f43b7	generateRDF (6)	COMPLETED	0	2024-11-02 21:07:07.724	1m 2s	41.7s	29.4%	54 MB	61 MB	2 GB	17.2 KB
79	0a/4def2f	8175a7aa-3ec0-4dc3-8594-3111aa4efa5d	generateRDF (78)	COMPLETED	0	2024-11-02 21:07:08.069	1m 2s	13.5s	36.2%	54 MB	61 MB	617.9 MB	17.2 KB
114	47/619448	827c54f3-9047-48ae-9c3c-db01cf1b332b	generateRDF (113)	COMPLETED	0	2024-11-02 21:07:08.791	1m 2s	38.5s	30.3%	54 MB	61 MB	2 GB	17.2 KB
136	4d/392cd9	ba0d8e7d-cdf5-4a23-a8a2-a309f7b4f09c	generateRDF (135)	COMPLETED	0	2024-11-02 21:07:08.963	1m 2s	18.2s	31.9%	53.9 MB	61 MB	596 MB	17.2 KB
129	6e/e54abe	edce5032-6752-486c-9316-92725a06a88d	generateRDF (128)	COMPLETED	0	2024-11-02 21:07:08.997	1m 2s	38.9s	29.5%	53.8 MB	61 MB	2 GB	17.2 KB
139	24/574b00	0d6e384e-98a5-478a-ac32-8df2b8f86447	generateRDF (138)	COMPLETED	0	2024-11-02 21:07:09.006	1m 2s	39.3s	29.5%	53.9 MB	61 MB	2 GB	17.2 KB
180	f9/1156cc	f6faddc0-345e-4e51-a530-d7caad9025a9	generateRDF (179)	COMPLETED	0	2024-11-02 21:07:09.978	1m 1s	15.2s	34.3%	54.1 MB	61 MB	761.2 MB	17.2 KB
184	7d/04bdca	856144cc-394d-4e71-8688-087a6783b584	generateRDF (183)	COMPLETED	0	2024-11-02 21:07:10.110	1m 1s	12.4s	18.4%	55.8 MB	62 MB	134.9 MB	95.2 KB
183	7c/b5f7f5	158037e0-48cb-4d39-8dfe-e9fbf2fcce82	generateRDF (182)	COMPLETED	0	2024-11-02 21:07:10.141	1m 1s	13.9s	24.1%	54 MB	61 MB	420 MB	17.2 KB
216	5e/7720b2	de7c6ec9-7e3f-4d73-a25e-5109479cd1ce	generateRDF (215)	COMPLETED	0	2024-11-02 21:07:10.711	1m 1s	14s	41.1%	53.8 MB	61 MB	655.5 MB	17.2 KB
383	8c/f39c74	cc0db3d0-1387-47cb-bc49-e509887fa51f	generateRDF (382)	COMPLETED	0	2024-11-02 21:07:11.825	1m	18.8s	29.6%	53.9 MB	61 MB	968.4 MB	17.2 KB
12	dc/b24d11	8d92c20f-8a4a-4814-b4d7-db84918e14d2	generateRDF (11)	COMPLETED	0	2024-11-02 21:07:07.598	1m 12s	29.2s	29.4%	54 MB	61 MB	1.3 GB	17.2 KB
13	c0/611ae8	78d39d93-6d56-420b-b4d3-ffee07df9d7b	generateRDF (12)	COMPLETED	0	2024-11-02 21:07:07.683	1m 12s	54.4s	23.9%	53.9 MB	61 MB	2 GB	17.2 KB
120	2d/0c3ca0	72389954-85c1-4992-bfc9-9ac573fedade	generateRDF (119)	COMPLETED	0	2024-11-02 21:07:08.832	1m 11s	41.9s	30.4%	54 MB	61 MB	2 GB	17.2 KB
